ID_Product,PREP,LONG,LARG,HAUT,QTE,Volume_Product,POIDS,TYPE_OP,index,Number_Lines,Product_FREQUENCY,Quantity_demand,Average_Volume/Day,Familly
2159418,detail,420,55,45,1,1039500,490,UNIT,3623,2,0.007692307692307693,6,23988.46153846154,Normal
418319,detail,355,20,20,1,142000,526,UNIT,1802,57,0.21923076923076923,108,58984.61538461538,Normal
2134075,detail,70,15,15,1,15750,79,UNIT,3286,66,0.25384615384615383,120,7269.2307692307695,Fragile
2238569,detail,130,130,37,2,625300,792,UNIT,4630,635,2.4423076923076925,1457,3504085.0,Normal
2025566,detail,225,47,8,1,84600,40,UNIT,2264,29,0.11153846153846154,65,21150.0,Fragile
2070374,detail,100,35,30,1,105000,123,UNIT,2571,266,1.023076923076923,501,202326.92307692306,Fragile
31143,detail,136,79,56,25,601664,1274,UNIT,94,33,0.12692307692307692,282,652574.0307692308,Normal
247955,detail,139,139,90,25,1738890,2630,UNIT,454,39,0.15,241,1611817.2692307692,Normal
338348,detail,395,27,30,1,319950,155,UNIT,1069,3,0.011538461538461539,3,3691.730769230769,Fragile
2232597,detail,275,25,25,1,171875,485,UNIT,4523,267,1.0269230769230768,458,302764.42307692306,Normal
433790,detail,290,40,25,1,290000,55,UNIT,1946,380,1.4615384615384615,1790,1996538.4615384615,Fragile
2006312,detail,105,105,580,1,6394500,2316,UNIT,2101,43,0.16538461538461538,50,1229711.5384615385,Normal
2305504,detail,240,235,55,25,3102000,414,UNIT,5057,58,0.2230769230769231,102,1216938.4615384615,Normal
2159388,detail,420,55,50,1,1155000,406,UNIT,3612,4,0.015384615384615385,4,17769.23076923077,Normal
304927,detail,190,40,40,10,304000,344,UNIT,827,265,1.0192307692307692,418,488738.46153846156,Normal
369225,detail,130,32,23,1,95680,115,UNIT,1183,24,0.09230769230769231,251,92368.0,Fragile
2083755,detail,380,280,80,3000,8512000,7607,UNIT,2762,305,1.1730769230769231,1175,38467692.307692304,Heavy
2039120,detail,70,30,30,10,63000,45,UNIT,2351,48,0.18461538461538463,124,30046.153846153848,Fragile
2076510,detail,435,65,65,1,1837875,464,UNIT,2687,74,0.2846153846153846,195,1378406.25,Normal
2270732,detail,140,75,55,1,577500,196,UNIT,4882,13,0.05,21,46644.230769230766,Fragile
2154902,detail,155,50,15,25,116250,326,UNIT,3471,17,0.06538461538461539,25,11177.884615384615,Normal
2261154,detail,155,60,40,1,372000,110,UNIT,4769,11,0.04230769230769231,27,38630.769230769234,Fragile
385875,detail,140,94,99,50,1302840,1358,UNIT,1435,38,0.14615384615384616,134,671463.6923076923,Normal
2083757,detail,380,280,80,3000,8512000,10224,UNIT,2764,798,3.0692307692307694,5870,192174769.23076922,Heavy
337812,detail,385,50,50,1,962500,666,UNIT,1067,258,0.9923076923076923,748,2769038.4615384615,Normal
2224255,detail,370,35,15,1,194250,161,UNIT,4467,49,0.18846153846153846,154,115055.76923076923,Fragile
305014,detail,180,40,10,1,72000,15,UNIT,845,45,0.17307692307692307,120,33230.769230769234,Fragile
2261141,detail,157,50,30,1,235500,57,UNIT,4757,15,0.057692307692307696,40,36230.769230769234,Fragile
345070,detail,105,80,80,1,672000,778,UNIT,1123,14,0.05384615384615385,35,90461.53846153847,Normal
2243179,detail,125,125,25,1,390625,150,UNIT,4664,1,0.0038461538461538464,1,1502.4038461538462,Fragile
335678,detail,315,255,55,25,4417875,1460,UNIT,1036,99,0.38076923076923075,376,6388926.923076923,Normal
2222129,detail,255,60,35,35,535500,1106,UNIT,4296,150,0.5769230769230769,289,595228.8461538461,Normal
2262673,detail,255,40,20,10,204000,465,UNIT,4860,153,0.5884615384615385,338,265200.0,Normal
2261161,detail,157,72,55,1,621720,152,UNIT,4776,54,0.2076923076923077,119,284556.46153846156,Fragile
2281082,detail,40,20,20,1,16000,16,UNIT,4968,8,0.03076923076923077,37,2276.923076923077,Fragile
2261165,detail,160,90,70,1,1008000,194,UNIT,4780,22,0.08461538461538462,38,147323.07692307694,Fragile
2261186,detail,215,165,80,1,2838000,562,UNIT,4800,60,0.23076923076923078,123,1342592.3076923077,Normal
2222115,detail,310,50,15,5,232500,276,UNIT,4285,19,0.07307692307692308,96,85846.15384615384,Normal
2022014,detail,275,50,40,8,550000,1046,UNIT,2233,1403,5.3961538461538465,2330,4928846.153846154,Normal
216706,detail,160,130,60,25,1248000,2447,UNIT,315,53,0.20384615384615384,143,686400.0,Normal
416482,detail,195,190,115,100,4260750,320,UNIT,1703,23,0.08846153846153847,142,2327025.0,Normal
416738,detail,169,133,72,100,1618344,3085,UNIT,1715,97,0.3730769230769231,333,2072725.2,Normal
416745,detail,140,95,80,100,1064000,1438,UNIT,1722,288,1.1076923076923078,786,3216553.846153846,Normal
2237416,detail,185,140,100,20,2590000,3303,UNIT,4596,57,0.21923076923076923,221,2201500.0,Normal
2113977,detail,220,135,85,50,2524500,2742,UNIT,3048,92,0.35384615384615387,400,3883846.153846154,Normal
2120425,detail,400,50,50,1,1000000,1019,UNIT,3146,97,0.3730769230769231,160,615384.6153846154,Normal
413422,detail,167,127,90,500,1908810,2810,UNIT,1666,36,0.13846153846153847,138,1013137.6153846154,Normal
362309,detail,240,140,110,25,3696000,5080,UNIT,1153,46,0.17692307692307693,66,938215.3846153846,Heavy
203858,detail,300,270,80,5,6480000,720,UNIT,227,231,0.8884615384615384,606,15103384.615384616,Normal
2061193,detail,160,60,20,100,192000,43,UNIT,2509,70,0.2692307692307692,2186,1614276.923076923,Fragile
2039309,detail,120,90,20,10,216000,49,UNIT,2405,57,0.21923076923076923,91,75600.0,Fragile
2018940,detail,399,180,50,1,3591000,323,UNIT,2191,140,0.5384615384615384,622,8590776.923076924,Normal
2018411,detail,187,140,52,20,1361360,2022,UNIT,2166,68,0.26153846153846155,426,2230536.0,Normal
2079921,detail,180,135,80,16,1944000,2083,UNIT,2723,1208,4.6461538461538465,7333,54828276.92307692,Normal
2079927,detail,225,135,85,50,2581875,4075,UNIT,2729,93,0.3576923076923077,274,2720899.0384615385,Normal
2082432,detail,140,90,80,25,1008000,869,UNIT,2746,62,0.23846153846153847,538,2085784.6153846155,Normal
2036316,detail,180,135,85,100,2065500,1815,UNIT,2299,83,0.3192307692307692,248,1970169.2307692308,Normal
2107671,detail,390,130,130,100,6591000,627,UNIT,2963,61,0.23461538461538461,1408,35692800.0,Normal
2120430,detail,575,65,65,1,2429375,1794,UNIT,3149,968,3.723076923076923,1221,11408718.75,Normal
2105861,detail,240,140,85,12,2856000,3958,UNIT,2917,184,0.7076923076923077,1434,15751938.461538462,Normal
2139595,detail,575,65,65,1,2429375,1420,UNIT,3321,53,0.20384615384615384,67,626031.25,Normal
2105879,detail,235,140,82,12,2697800,4017,UNIT,2935,50,0.19230769230769232,202,2095983.076923077,Normal
2105898,detail,180,135,80,50,1944000,2178,UNIT,2952,65,0.25,338,2527200.0,Normal
2120275,detail,170,150,50,25,1275000,908,UNIT,3139,195,0.75,644,3158076.923076923,Normal
2150367,detail,80,65,55,100,286000,332,UNIT,3383,126,0.4846153846153846,544,598400.0,Normal
2150380,detail,125,80,55,100,550000,311,UNIT,3386,160,0.6153846153846154,1605,3395192.3076923075,Normal
2090366,detail,280,90,70,1,1764000,941,UNIT,2794,2508,9.646153846153846,78155,530251615.38461536,Normal
2091363,detail,125,80,55,100,550000,408,UNIT,2801,50,0.19230769230769232,454,960384.6153846154,Normal
2122219,detail,535,120,120,4,7704000,2980,UNIT,3167,71,0.27307692307692305,103,3051969.230769231,Normal
2122301,detail,335,80,80,4,2144000,1883,UNIT,3193,44,0.16923076923076924,73,601969.2307692308,Normal
2112585,detail,220,180,60,200,2376000,1575,UNIT,2986,96,0.36923076923076925,496,4532676.923076923,Normal
2123403,detail,275,85,50,1,1168750,562,UNIT,3200,493,1.896153846153846,8496,38191153.84615385,Normal
2202196,detail,250,220,85,1,4675000,1630,UNIT,4129,304,1.1692307692307693,330,5933653.846153846,Normal
2200193,detail,215,200,95,1,4085000,1162,UNIT,4112,281,1.0807692307692307,367,5766134.615384615,Normal
2153657,detail,282,80,70,20,1579200,424,UNIT,3437,174,0.6692307692307692,526,3194843.076923077,Normal
2184303,detail,90,90,80,50,648000,1249,UNIT,3919,68,0.26153846153846155,178,443630.76923076925,Normal
2184308,detail,80,90,58,100,417600,482,UNIT,3924,59,0.22692307692307692,137,220043.07692307694,Normal
2164509,detail,173,110,50,10,951500,801,UNIT,3727,226,0.8692307692307693,1392,5094184.615384615,Normal
2184511,detail,90,80,57,150,410400,467,UNIT,3964,291,1.1192307692307693,1018,1606873.8461538462,Normal
2184517,detail,90,80,90,50,648000,1268,UNIT,3970,892,3.4307692307692306,5687,14173753.846153846,Normal
2184831,detail,180,155,135,50,3766500,3796,UNIT,4006,23,0.08846153846153847,52,753300.0,Normal
2172818,detail,270,240,70,50,4536000,2226,UNIT,3823,500,1.9230769230769231,1304,22749784.615384616,Normal
2168631,detail,140,120,45,1,756000,1270,UNIT,3748,27,0.10384615384615385,32,93046.15384615384,Normal
2158778,detail,140,95,80,100,1064000,1021,UNIT,3561,269,1.0346153846153847,3622,14822338.461538462,Normal
2223936,detail,140,95,50,20,665000,358,UNIT,4420,29,0.11153846153846154,170,434807.6923076923,Normal
2223945,detail,235,140,100,20,3290000,5661,UNIT,4428,35,0.1346153846153846,164,2075230.7692307692,Heavy
2223867,detail,375,140,50,20,2625000,4184,UNIT,4369,59,0.22692307692307692,193,1948557.6923076923,Normal
2223911,detail,375,140,50,10,2625000,4323,UNIT,4399,79,0.3038461538461538,358,3614423.076923077,Normal
2223925,detail,375,140,50,10,2625000,4352,UNIT,4411,75,0.28846153846153844,223,2251442.3076923075,Normal
241370,detail,210,60,55,1,693000,542,UNIT,426,18,0.06923076923076923,36,95953.84615384616,Normal
2237087,detail,375,140,50,20,2625000,3292,UNIT,4577,57,0.21923076923076923,204,2059615.3846153845,Normal
2224242,detail,200,45,45,8,405000,576,UNIT,4458,75,0.28846153846153844,111,172903.84615384616,Normal
2224302,detail,350,52,52,8,946400,1960,UNIT,4496,23,0.08846153846153847,26,94640.0,Normal
2254452,detail,150,100,35,1,525000,1515,UNIT,4734,73,0.28076923076923077,89,179711.53846153847,Normal
2223832,detail,385,140,50,10,2695000,3284,UNIT,4336,134,0.5153846153846153,513,5317442.307692308,Normal
2223837,detail,240,65,50,20,780000,1396,UNIT,4341,153,0.5884615384615385,965,2895000.0,Normal
304140,detail,175,135,67,25,1582875,2145,UNIT,759,27,0.10384615384615385,76,462686.53846153844,Normal
305858,detail,235,140,80,50,2632000,2767,UNIT,870,120,0.46153846153846156,622,6296553.846153846,Normal
290032,detail,140,90,80,25,1008000,1096,UNIT,694,99,0.38076923076923075,1808,7009476.923076923,Normal
290182,detail,185,140,80,12,2072000,2211,UNIT,705,66,0.25384615384615383,570,4542461.538461538,Normal
304138,detail,172,135,63,25,1462860,2357,UNIT,757,36,0.13846153846153847,98,551385.6923076923,Normal
298500,detail,185,140,80,50,2072000,1190,UNIT,729,54,0.2076923076923077,592,4717784.615384615,Normal
418777,detail,280,125,80,50,2800000,2180,UNIT,1830,323,1.2423076923076923,1524,16412307.692307692,Normal
2288392,detail,250,230,75,10,4312500,4491,UNIT,4996,9,0.03461538461538462,64,1061538.4615384615,Normal
2004165,detail,375,140,83,16,4357500,5656,UNIT,2023,184,0.7076923076923077,866,14513826.923076924,Heavy
376965,detail,138,92,102,100,1294992,1610,UNIT,1330,208,0.8,408,2032141.2923076923,Normal
423862,detail,220,125,85,50,2337500,2143,UNIT,1845,147,0.5653846153846154,743,6679855.769230769,Normal
423867,detail,375,130,125,50,6093750,3923,UNIT,1850,75,0.28846153846153844,272,6375000.0,Normal
331553,detail,400,70,70,4,1960000,5016,UNIT,987,1,0.0038461538461538464,6,45230.769230769234,Heavy
423877,detail,370,130,120,50,5772000,3801,UNIT,1860,42,0.16153846153846155,102,2264400.0,Normal
385134,detail,378,285,135,1000,14543550,6015,UNIT,1403,108,0.4153846153846154,334,18682868.076923076,Heavy
293465,detail,540,40,40,1,864000,1027,UNIT,721,18,0.06923076923076923,23,76430.76923076923,Normal
386438,detail,290,310,70,10,6293000,2345,UNIT,1465,30,0.11538461538461539,108,2614015.3846153845,Normal
285709,detail,280,170,40,100,1904000,356,UNIT,648,757,2.9115384615384614,6283,46010892.307692304,Normal
2223705,detail,185,70,50,20,647500,1173,UNIT,4322,145,0.5576923076923077,1254,3122942.3076923075,Normal
283638,detail,128,128,77,100,1261568,860,UNIT,626,21,0.08076923076923077,261,1266420.1846153846,Normal
375956,detail,138,95,77,12,1009470,1006,UNIT,1309,784,3.0153846153846153,5563,21598775.423076924,Normal
2237421,detail,235,140,100,20,3290000,5178,UNIT,4598,72,0.27692307692307694,397,5023576.923076923,Heavy
