ID_Product,LONG,LARG,HAUT,POIDS,Volume_Product,PREP,QTE,Famille,Algo
335295,290,290,130,5757,10933000,detail,1,0,2
335424,190,140,160,3062,4256000,detail,100,0,2
335433,190,166,150,3033,4731000,detail,100,0,2
339602,390,270,120,4397,12636000,detail,50,0,2
332024,287,200,120,1630,6888000,detail,1,0,2
332185,183,134,79,1828,1937238,detail,100,0,2
340150,300,100,30,132,900000,detail,100,0,2
3505517,285,285,50,798,4061250,detail,1,0,2
34536,80,65,55,216,286000,detail,100,0,2
34537,83,60,51,237,253980,detail,100,0,2
332219,142,95,50,850,674500,detail,20,0,2
3518608,190,140,105,2265,2793000,detail,250,0,2
360644,400,350,10,2106,1400000,detail,1,0,2
34548,165,127,57,1067,1194435,detail,100,0,2
332685,144,104,80,920,1198080,detail,100,0,2
336645,590,35,30,481,619500,detail,1,0,2
3063532,125,115,90,4868,1293750,detail,500,0,2
3063205,150,100,40,496,600000,detail,100,0,2
3063211,120,100,40,647,480000,detail,100,0,2
3063259,130,115,85,1739,1270750,detail,50,0,2
206611,215,50,50,1300,537500,detail,12,0,2
206650,585,30,30,427,526500,detail,1,0,2
3069541,300,200,60,4823,3600000,detail,50,0,2
3063414,90,90,70,134,567000,detail,1,0,2
3064957,80,80,50,19,320000,detail,1,0,2
257285,383,151,80,3884,4626640,detail,50,0,2
257291,222,120,84,1472,2237760,detail,50,0,2
337116,228,136,81,2869,2511648,detail,16,0,2
3426997,230,145,85,4372,2834750,detail,20,0,2
362859,430,115,50,1525,2472500,detail,1,0,2
3785412,480,365,50,3484,8760000,detail,1,0,2
3784181,405,275,50,1921,5568750,detail,1,0,2
2312473,580,400,200,3483,46400000,detail,1,0,2
2281848,300,210,92,12072,5796000,detail,3000,0,2
2293581,235,137,80,4217,2575600,detail,16,0,2
244645,169,126,57,614,1213758,detail,100,0,2
257273,280,122,130,1675,4440800,detail,50,0,2
2293583,185,135,52,1371,1298700,detail,50,0,2
2302129,185,140,80,2497,2072000,detail,25,0,2
2242280,320,320,100,2479,10240000,detail,10,0,2
2293557,235,137,105,3951,3380475,detail,50,0,2
387733,185,140,110,3555,2849000,detail,5,0,2
2349152,285,160,120,3288,5472000,detail,100,0,2
388082,220,185,110,3330,4477000,detail,50,0,2
2151636,270,40,20,179,216000,detail,1,0,2
409182,595,35,15,143,312375,detail,1,0,2
41057,81,62,55,320,276210,detail,100,0,2
2242253,300,220,70,1297,4620000,detail,25,0,2
2242271,271,260,70,1350,4932200,detail,10,0,2
2242346,260,240,70,1054,4368000,detail,10,0,2
2242355,300,260,90,1882,7020000,detail,10,0,2
2293556,220,135,80,3633,2376000,detail,50,0,2
406784,590,154,100,2877,9086000,detail,1,0,2
412785,400,260,55,6069,5720000,detail,50,0,2
412902,240,140,55,3101,1848000,detail,8,0,2
2247399,223,170,90,2188,3411900,detail,1000,0,2
2325728,230,195,155,3714,6951750,detail,30,0,2
2346089,300,260,65,782,5070000,detail,1,0,2
254461,180,120,100,1761,2160000,detail,1,0,2
413341,200,150,100,2300,3000000,detail,100,0,2
2242342,300,260,40,1250,3120000,detail,25,0,2
408769,250,220,70,6890,3850000,detail,50,0,2
413350,170,130,120,2300,2652000,detail,100,0,2
413411,164,127,90,2194,1874520,detail,250,0,2
267763,180,140,80,2128,2016000,detail,16,0,2
408954,260,90,50,918,1170000,detail,1,0,2
2204304,360,100,45,1357,1620000,detail,250,0,2
2278698,350,170,115,4227,6842500,detail,10,0,2
2278649,170,135,130,1371,2983500,detail,10,0,2
386645,130,125,75,1791,1218750,detail,2000,0,2
255682,163,118,98,1212,1884932,detail,250,0,2
409218,600,45,25,452,675000,detail,1,0,2
387062,240,65,50,1797,780000,detail,10,0,2
402728,595,45,45,1175,1204875,detail,1,0,2
255839,185,137,78,2478,1976910,detail,50,0,2
255845,187,140,85,2396,2225300,detail,25,0,2
409554,240,67,55,1100,884400,detail,10,0,2
409561,242,65,52,1511,817960,detail,5,0,2
256312,163,123,60,1206,1202940,detail,100,0,2
387431,225,195,120,2620,5265000,detail,50,0,2
40443,160,120,55,1637,1056000,detail,200,0,2
2219903,265,260,75,1032,5167500,detail,1,0,2
258018,235,140,50,2666,1645000,detail,5,0,2
2229030,180,155,80,1579,2232000,detail,1000,0,2
2117355,285,163,120,3915,5574600,detail,100,0,2
331547,238,141,50,3068,1677900,detail,8,0,2
253211,175,70,60,1806,735000,detail,25,0,2
26413,160,120,54,1474,1036800,detail,100,0,2
376502,380,117,58,1420,2578680,detail,1,0,2
340478,585,152,147,1614,13071240,detail,1,0,2
226122,26,26,2,5,1352,detail,1,0,2
2163313,150,100,40,1922,600000,detail,1,0,2
375758,190,145,100,2100,2755000,detail,250,0,2
346734,93,51,51,26,241893,detail,1,0,2
383002,130,35,20,74,91000,detail,1,0,2
72425,34,34,2,8,2312,detail,1,0,2
7580,25,10,5,25,1250,detail,1,0,2
70490,7,7,1,1,49,detail,1,0,2
302407,102,102,35,487,364140,detail,1,0,2
2128213,510,90,70,2051,3213000,detail,1000,0,2
222062,68,68,2,12,9248,detail,1,0,2
417558,120,70,40,77,336000,detail,1,0,2
204730,97,18,16,116,27936,detail,1,0,2
2113445,395,395,120,3898,18723000,detail,1,0,2
3482836,188,139,105,1564,2743860,detail,250,0,2
3401108,100,20,20,12,40000,detail,10,0,2
96448,165,115,43,1569,815925,detail,100,0,2
3558436,187,135,106,1775,2675970,detail,250,0,2
3732114,520,400,80,5433,16640000,detail,1,0,2
207322,180,175,5,59,157500,detail,1,0,2
76208,27,8,5,6,1080,detail,1,0,2
211472,595,150,100,1587,8925000,detail,1,0,2
3061626,150,150,120,2132,2700000,detail,1,0,2
95518,178,178,50,300,1584200,detail,200,0,2
2089820,95,85,85,173,686375,detail,1,0,2
2233883,120,90,15,46,162000,detail,1,0,2
2140740,170,125,90,2537,1912500,detail,100,0,2
319095,25,25,18,4,11250,detail,1,0,2
328025,150,45,15,116,101250,detail,1,0,2
273810,600,150,150,3378,13500000,detail,1,0,2
2042306,400,120,50,173,2400000,detail,1,0,2
373046,100,50,60,403,300000,detail,1,0,2
330202,171,164,65,367,1822860,detail,1,0,2
3061784,100,70,30,32,210000,detail,1,0,2
303706,410,395,20,2273,3239000,detail,1,0,2
383148,135,85,85,1883,975375,detail,50,0,2
3062218,65,65,51,17,215475,detail,1,0,2
237309,250,200,30,884,1500000,detail,450,0,2
409329,350,300,120,9113,12600000,detail,25,0,2
260363,166,125,71,787,1473250,detail,100,0,2
367247,56,56,5,8,15680,detail,1,0,2
50830,52,13,8,22,5408,detail,1,0,2
39489,420,97,95,1820,3870300,detail,1,0,2
2206960,495,395,150,2396,29328750,detail,1,0,2
293232,340,40,40,579,544000,detail,1,0,2
364532,155,130,125,703,2518750,detail,1,0,2
418713,150,80,80,266,960000,detail,1,0,2
3498201,100,85,20,580,170000,detail,1,0,2
2172045,420,55,45,380,1039500,detail,1,0,2
279514,340,140,150,397,7140000,detail,1,0,2
377058,207,80,43,393,712080,detail,10,0,2
206172,60,60,2,11,7200,detail,1,0,2
3549138,30,15,5,24,2250,detail,1,0,2
278849,90,10,10,9,9000,detail,1,0,2
417629,160,80,70,263,896000,detail,1,0,2
2113029,87,77,52,138,348348,detail,1,0,2
421023,580,75,65,1007,2827500,detail,1,0,2
2272058,230,140,80,3935,2576000,detail,10,0,2
334396,26,19,3,7,1482,detail,1,0,2
2280325,275,260,80,3032,5720000,detail,1,0,2
2151933,130,130,45,2022,760500,detail,6,0,2
311047,236,47,46,498,510232,detail,1,0,2
2098084,425,65,65,740,1795625,detail,1,0,2
363938,240,230,95,562,5244000,detail,1,0,2
